,date,sentences
0,2009-04-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 내수와 수출 모두 감소세를 지속하면서계속 위축되고 있으나 하강속도는 다소 완만해지고 있으며 세계경제 침체, 국제금융시장 불안 등으로 인해 향후성장의 하향위험은 여전히 큰 것으로 판단됨', '소비자물가는 국제유가가 안정세를 보이는 가운데 경기부진에 따른 수요압력 완화로 오름세가 둔화되었으며 앞으로도 이러한 추세가 이어질 것으로 보임.', '부동산시장에서는 거래위축 및 가격하락 현상이 지속되고 있음', '금융시장에서는 환율, 주가 등 가격변수가 개선된 모습을나타내었으며 금융기관의 대출태도가 완화되면서 가계 및중소기업 대출이 꾸준히 늘어나고 있음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기의 과도한 위축을 방지하고 금융시장 안정을 도모하는데 주안점을 두고 운용해 나갈 것임']"
1,2009-05-12,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을운용하기로 하였음', '최근 국내 경기는 내수 부진에도 불구하고 수출 감소세둔화와 적극적인 재정통화정책에 힘입어 하강속도가 완만해지고 있으나 세계경제 침체 지속, 고용사정 악화 등으로 향후 성장의 하향위험이 상존하고 있는 것으로 판단됨', '소비자물가는 국제유가의 안정, 경기부진에 따른 수요압력완화 등으로 오름세가 둔화되었으며 앞으로도 이러한 추세가 이어질 것으로 보임.', '부동산시장에서는 수도권 일부에서 거래량이 늘어나면서 가격이 반등하는 움직임을 나타내었음', '금융시장에서는 환율, 주가 등 가격변수가 개선 추세를지속하는 가운데 가계 및 중소기업 대출이 꾸준히 늘어나고 있으나 신용위험에 대한 우려와 시중자금의 단기화 현상이 지속되고 있음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기 회복을 뒷받침하고 금융시장 안정을 도모하는 데 주안점을 두고 운용해 나갈 것임']"
2,2009-06-11,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 적극적인 재정통화정책 등에 힘입어 내수부진이 완화되고 생산활동이 호전되는 등 하강을 멈춘모습이나 국제원자재가격 상승 및 주요 선진국의 경기부진으로 향후 성장의 하향위험이 상존하고 있는 것으로판단됨', '소비자물가는 경기부진에 따른 수요압력 완화, 환율의 하향안정 등으로 오름세가 둔화되었음.', '부동산가격은 소폭의상승세가 지속되었음', '금융시장에서는 환율, 주가 등 가격변수가 안정적인 움직임을 보이는 가운데 가계 및 중소기업 대출이 꾸준히 늘어나고 있으나 신용위험에 대한 우려와 시중자금의 단기화 현상이 해소되지 않은 상황임', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 및 금융시장의 개선 움직임이 지속되도록 하는데 주안점을 두고 운용해 나갈 것임']"
3,2009-07-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 적극적인 재정통화정책 등에 힘입어 내수및 수출부진이 완화되면서 그간의 하강세에서 벗어나는모습이나 국제원자재가격 상승, 주요 선진국의 경기부진등으로 향후 성장경로의 불확실성이 높은 것으로 판단됨', '소비자물가는 경기부진에 따른 수요압력 완화 등으로 오름세가 계속 둔화되었음.', '부동산가격은 소폭의 상승세가지속되었음', '금융시장에서는 환율, 주가 등 가격변수가 안정적인 움직임을 이어가는 가운데 주택담보대출을 중심으로 은행대출이 꾸준히 증가하였음.', '한편 신용위험에 대한 우려와 시중자금의 단기화 현상은 해소되지 않은 상황임', '앞으로 통화정책은 당분간 금융완화기조를 유지 하면서최근의 경기 개선 움직임 및 금융시장 안정이 지속되도록하는 데 주안점을 두고 운용해 나갈 것임']"
4,2009-08-11,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 적극적인 재정통화정책 및 신흥시장국경제상황 호전에 힘입어 내수와 수출 부진이 더욱 완화되는 등 개선 움직임을 지속하고 있으나 주요 선진국의 경기회복 지연 가능성 등으로 향후 성장경로의 불확실성이상존하고 있는 것으로 판단됨', '소비자물가는 수요압력 완화, 환율 하락 등의 영향으로 오름세가 계속 둔화되었음.', '부동산가격은 상승세가 지속되었음', '금융시장에서는 시장금리 및 주가가 상승하는 가운데 주택담보대출이 계속 큰 폭으로 증가하였음.', '한편 신용위험에 대한 우려와 시중자금의 단기화 현상은 해소되지 않은상황임', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 움직임 및 금융시장 안정이 지속되도록하는 데 주안점을 두고 운용해 나갈 것임']"
5,2009-09-10,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 세계경제 상황 호전 등으로 내수 및 수출이 회복 움직임을 보이고 생산이 증가하는 등 개선 추세를 이어가고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 상승률이 다소 높아졌으나 대체로 안정된모습을 나타내고 있음.', '부동산가격은 오름세가 지속되었음', '금융시장에서는 시장금리 및 주가가 상승한 가운데 주택담보대출이 큰 폭의 증가를 지속하였음.', '한편 신용위험에대한 우려와 시중자금의 단기화 현상은 다소 완화되는 움직임을 보였음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 추세 및 금융시장 안정이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임']"
6,2009-10-09,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(.%)에서 유지하여 통화정책을운용하기로 하였음', '최근 국내 경기는 세계경제 상황 호전 등으로 수출이 회복세를 이어가고 소비가 전년수준을 계속 상회 하는 등개선 추세를 지속하고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 대체로 안정된 모습을 나타내었음.', '부동산가격은 오름세가 지속되었음', '금융시장에서는 주가가 큰 폭 상승한 후 반락한 가운데총부채상환비율 확대 적용, 대출금리 상승 등으로 주택담보대출의 증가세가 둔화되었음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 추세 및 금융시장 안정이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임']"
7,2009-11-12,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 세계경제 상황 호전 등으로 수출 및 내수와 생산 활동이 한층 더 개선되는 등 회복세를 나타내고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 원/달러 환율 등이 하락요인으로 작용하면서안정세를 이어가고 있음.', '부동산가격은 오름세가 주춤하는모습을 보였음', '금융시장에서는 주가, 금리 등 가격변수의 변동성이 다소확대된 가운데 총부채상환비율 확대 적용, 대출금리 상승등으로 주택담보대출 증가세의 둔화 움직임이 지속되었음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세가 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임']"
8,2009-12-10,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 세계경제 상황 호전 등으로 수출과 소비가 개선추세를 보이는 등 회복세를 이어가고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 상승세가 다소 확대되었으나 대체로 안정된모습을 보이고 있음.', '부동산가격은 오름세가 둔화되었음', '금융시장에서는 환율, 주가 등 가격변수가 대체로 안정된움직임을 보이다가 해외 불안요인의 영향으로 변동폭이일시 확대되었으며 주택담보대출은 전월수준의 증가를 나타내었음', '앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기회복세가 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임']"
9,2010-01-08,"['금융통화위원회는 다음 통화정책방향 결정시까지 한국은행기준금리를 현 수준(.%)에서 유지하여 통화정책을 운용하기로 하였음', '최근 국내 경기는 세계경제 상황 호전 등으로 수출과 내수가 꾸준히 증가하는 등 회복세를 지속하고 있으며 앞으로도 이와 같은 추세가 이어질 것으로 전망됨.', '다만 주요선진국의 본격적인 경기회복 지연 우려 등으로 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨', '소비자물가는 석유류가격을 중심으로 오름세가 확대되었으며 폭설의 영향이 더해져 상승률이 일시 더 높아질 것으로 예상됨.', '부동산가격은 상승세가 둔화되고 있음', '금융시장에서는 경기개선 흐름 등을 반영하여 장단기 시장금리 및 주가가 상당 폭 상승하였으며 주택담보대출은꾸준한 증가세를 보였음', '앞으로 통화정책은 당분간 금융완화 기조를 유지하면서경기회복세 지속에 도움이 되는 방향으로 운용해 나갈 것임']"
