,filtered_ngram
0,가장 많이
1,가장 어렵
2,그리
3,그리 밝
4,극대
5,단절
6,바늘
7,성행
8,일정
9,짧
10,차단
11,특허
12,횡행
13,가까이 초과
14,가능*
15,가득
16,가사
17,가사 노동
18,가스
19,가장 고독
20,가장 많이 발생
21,가장 위협
22,가장 크
23,단점
24,재주
25,가책
26,가출
27,가파르
28,각종
29,각종 범죄
30,상속
31,간신히
32,간주
33,간첩
34,간첩 불순
35,갈등
36,갈수록
37,갈피 못
38,감 없
39,감각
40,감각 의지
41,감내
42,감독 게을리
43,강도 높
44,강물
45,강물 위
46,강박
47,강요
48,강의
49,갖가지
50,갖가지 사회
51,같 인상
52,같 입시
53,붓
54,개방
55,개방 정책
56,개입
57,개조
58,개조 과제
59,객관 실상
60,인터뷰
61,포기
62,일직선
63,거리
64,거리 유지
65,거부
66,거세 공포
67,거의 반영
68,거짓
69,거짓말
70,걱정
71,이상 교통
72,건물
73,건물 형식
74,건배
75,건수
76,건수 많
77,건축물
78,건축물 설계
79,걸림돌
80,검사
81,검사 확인
82,마찬가지
83,풀이
84,국기
85,경고
86,무섭
87,부족
88,승진
89,위협
90,이기
91,게양
92,게을리
93,겨우
94,경우
95,결국
96,결단
97,결여
98,결여 표상
99,결정
100,결함
101,결혼 세상
102,경각심
103,경각심 부각
104,경우 적
105,경쟁 심리
106,경제 범죄
107,경제 궁핍
108,경지
109,경지 예술
110,계속
111,계속 정체
112,계속 정체 상태
113,공연
114,혀
115,물 속
116,번들번들
117,싸움
118,약혼
119,양심
120,욕망
121,용서
122,지구
123,휴식
124,휴식 참
125,지적
126,통첩
127,고갈
128,고갈 상태
129,고개 절레절레
130,고급
131,고독
132,고되
133,고르
134,고립
135,고립무원
136,고립무원 속
137,고무 밴드
138,고발
139,고발 건수
140,고삐
141,고심
142,고육지책
143,고육책
144,고장
145,고조
146,고질
147,고질 문제
148,고질병
149,고집
150,고층
151,고층 아파트
152,고층 아파트 숲
153,고통
154,곡
155,곤란
156,곤혹
157,곧
158,곧 파멸
159,곧 파멸 직전
160,골
161,골 점점
162,골치
163,골치 아프
164,곰
165,곳 크
166,공부 더
167,공부 싫
168,공산
169,공산 크
170,공상
171,공식
172,공식 입장
173,공식 협의
174,공장
175,공장 공장장
176,공장장
177,공통
178,공포 자유
179,반복
180,생물
181,생물 해적
182,알코올
183,알코올 중독
184,죄의식
185,폭행
186,모순
187,과거 아픔
188,과다
189,과다 업무
190,과다 업무 좌절감
191,과대
192,과대 포장
193,과도
194,과반수
195,과반수 석
196,과시
197,과열
198,과오
199,과욕
200,과잉
201,과장
202,과중
203,과학
204,관계
205,관계 없
206,관계자
207,관리
208,관리 부실
209,관심 없
210,관심 외국
211,관점 차이
212,관철
213,교단
214,교단 분열
215,교류
216,교류 단절
217,교육 제대로
218,교통
219,교통 사고
220,교포
221,교포 살인
222,교회
223,교회 세습
224,교훈 주입
225,구걸
226,구설수
227,구식
228,구입
229,구태
230,구태 재연
231,국가
232,국가 사회
233,국교
234,국군
235,국기 게양
236,군국주의
237,군국주의 망령
238,군도
239,군살
240,군살 많이
241,굳이
242,궁상
243,궁중
244,궁중 사극
245,궁핍
246,궁핍 한계
247,권력
248,권력욕
249,권위주의
250,궤변
251,궤변 가득
252,귀
253,귀 질환
254,귀엽
255,귀엽 아들
256,규제
257,균형
258,균형 지나치
259,동안 태극기
260,무게
261,깎아지르
262,그냥
263,그냥 상상
264,모두*
265,이제 소수
266,엄마
267,그렇 자본주의
268,그르
269,힘 안
270,그림
271,그저
272,그저 그렇
273,그지없
274,그지없 행동
275,극단
276,극히
277,극히 낮
278,극히 일부
279,근근이
280,근로
281,근로 의욕
282,근로 의욕 저하
283,근시안
284,글
285,글씨
286,금물
287,금융
288,금융 실명
289,급격히
290,급격히 많
291,급속히
292,급속히 악화
293,십상
294,짝
295,기강
296,기강 해이
297,기냥
298,기만
299,기분
300,기소
301,기술
302,기술 노예
303,기약
304,기준
305,기피
306,기형아
307,기회주의
308,기획물
309,기획물 비디오
310,긴급
311,긴급 조치
312,긴급 조치 위반
313,긴장
314,긴장 고조
315,긴장감
316,긴장감 조성
317,길 없
318,길 그리
319,길 불
320,길이
321,길이 일정
322,깊
323,깊 의혹
324,까다롭
325,까맣
326,까맣 단지
327,반대
328,깜깜
329,꺼멓
330,꺼멓 번들번들
331,껍데기
332,껍질
333,꾸준히
334,꾸준히 문제
335,꿀
336,꿀 혼자
337,꿀단지
338,꿀통
339,끝 반대
340,냄새
341,논란
342,다음
343,단지
344,도전
345,맥
346,아버지
347,밤 길
348,복수
349,사건
350,상태
351,서방
352,서방 세계
353,섬
354,셈
355,소리
356,수준
357,시멘트
358,시멘트 덩어리
359,심회
360,아들
361,약골
362,여자
363,요지경
364,욕심
365,위기
366,위기 의식
367,유리
368,유리 눈
369,의혹
370,일직선 시멘트
371,재산
372,재산 피해
373,전쟁
374,전쟁 범죄
375,지금
376,짓
377,줄
378,처지
379,최후
380,침략
381,침략 행위
382,칭찬
383,폭력
384,학생
385,학생 운동
386,철
387,형태
388,후
389,후 새롭
390,다시 처음
391,절대 없
392,용인
393,불안감
394,이해
395,차이
396,살림
397,한문학
398,옹호
399,피
400,나귀
401,나귀 성지
402,나라 시간
403,나무 무늬
404,나비
405,나비 길이
406,나쁘
407,나이 사람
408,낙후
409,난리
410,난투극
411,날
412,날 없
413,남 의심
414,남 흉내
415,남발
416,남자
417,남자 거세
418,남자 결혼
419,남자 사원
420,남편
421,납득
422,낮
423,내내
424,내내 제자리
425,내부
426,내용 많
427,내일
428,내일 역사
429,내포
430,냉소
431,너무
432,너무 많
433,너무 소극적
434,너무 어렵
435,너무 푼수
436,너무나
437,너무나 엉터리
438,너무나 말
439,너무나 분명
440,정도 늦
441,노골
442,노동
443,노면
444,노면 정지선
445,노예
446,논란 한창
447,논리
448,놀랍
449,놀랍 일
450,농업
451,농업 지배
452,농촌
453,높 경고
454,높 경지
