,ngram
0,가
1,가 있
2,가 있 었
3,가
4,가 다
5,가 되 어야지요
6,가 아니 면
7,가 가능
8,가 가능 하
9,가 굵
10,가 꽤
11,가 꽤 맞
12,가 높 아
13,가 느끼
14,가 느끼 어
15,가 뛰쳐나오
16,가 막
17,가 막 을
18,가 막대
19,가 막대 하
20,가 많 고
21,가 많이
22,가 많이 나오
23,가 무대
24,가 무대 를
25,가 살아나
26,가 삼위일체
27,가 생기 다
28,가 쉽 지
29,가 쏠쏠
30,가 쏠쏠 하
31,가 어우러지
32,가 얼마나
33,가 얼마나 오랜
34,가 얼마나 종류
35,가 얼마나 좋
36,가 열리
37,가 열리 다
38,가 있
39,가 있 나
40,가 작용
41,가 작용 하
42,가 주장
43,가 주장 하
44,가 줄
45,가 줄 어
46,가 차
47,가 차 기
48,가 크
49,가 크 게
50,가 태익
51,가 태익 이
52,가 평화
53,가 평화 의
54,가 흐르
55,가 힘
56,가 힘 이
57,가 기
58,가 기 시작
59,가 시당
60,가
61,가 
62,가  계획
63,가  수
64,가격
65,가격 보다
66,가격 의
67,가격 의 절반
68,가까이 다가가
69,가깝 게
70,가깝 게 느끼
71,가꾸
72,가꾸 며
73,가꾸 며 살아오
74,가늠
75,가늠 하
76,가능 하
77,가능 하 게
78,가능 하 
79,가능 성 이
80,가도
81,가도 를
82,가도 를 달리
83,가르치 
84,가르치  수
85,가리
86,가리 지
87,가리 지 않
88,가슴
89,가슴 은
90,가슴 은 녹아내리
91,가슴 이 뛰
92,가장
93,가장 긍정
94,가장 긍정 적
95,가장 길
96,가장 내용
97,가장 내용 이
98,가장 널리
99,가장 널리 알리
100,가장 단적
101,가장 단적 으로
102,가장 먼저
103,가장 먼저 필요
104,가장 상식
105,가장 상식 적
106,가장 성공
107,가장 성공 하
108,가장 솔직
109,가장 솔직 하
110,가장 아름답
111,가장 아름답 게
112,가장 인기
113,가장 인기 이
114,가장 일관
115,가장 일관 되
116,가장 전문가
117,가장 전문가 집단
118,가장 좋
119,가장 좋 아
120,가장 친근
121,가장 친근 하
122,가장 흉내
123,가장 흉내 내
124,가족
125,가족 들
126,가족 들 이
127,가족 은
128,가족 은 결코
129,가족 이 함께
130,가지
131,가지 
132,가지  사람
133,가지  제품
134,가치
135,가치 가
136,가치 가 있
137,가치 를
138,가치 를 높이
139,가치 체계
140,가치 체계 나
141,각광
142,각국
143,각국 의
144,각국 의 보건
145,각별
146,각별 하
147,각별 하 
148,각별히
149,각성
150,각성 하
151,각양각색
152,각양각색 이
153,간곡
154,간곡 하
155,간단히
156,간밤
157,간밤 의
158,간밤 의 긴박
159,간편
160,간편 하
161,간호
162,갈구
163,갈구 하
164,갈피 마다
165,갈피 마다 에
166,감 이 들
167,감독 과
168,감독 과 영화
169,감독 과
170,감독 과 영화
171,감동
172,감동 깊
173,감동 으로
174,감사
175,감사 하
176,감사 하 니다
177,감칠맛
178,감칠맛 나
179,감탄사
180,감탄사 를
181,감탄사 를 연발
182,값
183,값 등
184,값 등 을
185,값 싸
186,값 싸 고
187,값싸
188,강군
189,강단
190,강단 교류
191,강도 있
192,강렬
193,강렬 하
194,강점
195,강점 으로
196,강점 으로 내세우
197,강제
198,강제 하
199,강조
200,강조 하
201,강하
202,강화
203,강화 되
204,강화 하
205,강화책
206,갖 게
207,갖 게 되
208,갖추
209,같 은 연극
210,같 은 영화
211,같이 하
212,갚
213,갚 는
214,갚 는 것
215,개
216,개념
217,개념 만
218,개념 만 벗어나
219,개선
220,개선 하
221,개선 하 아
222,개성
223,개성 어리
224,개성 있
225,개성 있
226,개인 적 자유
227,개척
228,개척 에
229,개척 에 본격
230,개혁 등
231,개혁 등 을
232,객관 화
233,객관 화 시키
234,거나 목소리
235,거나 목소리 높이
236,거두
237,거듭나
238,거리낌
239,거리낌 없이
240,거봉
241,거세
242,거울
243,거울 이
244,거울 이 며
245,거의 없
246,거짓 없이
247,거치 어
248,거치 어 오
249,거칠
250,거칠 
251,거칠  숨소리
252,거푸집
253,거푸집 속
254,거푸집 속 에서
255,거품
256,거품 도
257,거품 도 만들
258,건강
259,건강 을
260,건강 을 지키
261,건강 이
262,건강 이 좋
263,건강 하
264,건실
265,건실 하
266,건의
267,건의 하
268,건전
269,건전 레포츠
270,건전 레포츠 로
271,건축
272,건축 도
273,건축 도 하나
274,건축 양식
275,걸
276,걸 어
277,걸 어 나오
278,걸 어 주
279,걸맞
280,걸맞 게
281,것 과 생필품
282,것  젊
283,것 도 아마
284,것 들
285,것 들 을
286,것 만
287,것 만 도
288,것 만 으로
289,것 보다
290,것 보다 그동안
291,것 으로
292,것 으로 기대
293,것 으로 단맛
294,것 으로 여기
295,것 으로 추정
296,것 은 자아
297,것 을 확인
298,것 이
299,것 이 아니
300,것 이 더
301,것 이 도움
302,것 이 뭐
303,것 이 안
304,것 처럼 보이
305,게
306,게 겹치
307,게 굳
308,게 굳 지
309,게 기회
310,게 기회 를
311,게 늘
312,게 다가오
