date,document_id,sentence_id,tokenized_sentence,filtered_tokenized_sentence
2009-04-09,1,1,금융통화위원회 는 다음 통화정책 방향 결정시 까지 한국은행 기준금리 를 현 수준 ( 2 . 00 %) 에서 유지 하 여 통화정책 을 운용 하 기 로 하 였 음,금융통화위원회 다음 통화정책 방향 결정시 한국은행 기준금리 수준 유지 통화정책 운용
2009-04-09,1,2,"최근 국내 경기 는 내수 와 수출 모두 감소세 를 지속 하 면서 계속 위축 되 고 있 으나 하강 속도 는 다소 완만 해지 고 있 으며 세계 경제 침체 , 국제 금융시장 불안 등 으로 인해 향후 성장 의 하향 위험 은 여전히 큰 것 으로 판단 됨",최근 국내 경기 내수 수출 모두 감소세 지속 계속 위축 하강 속도 다소 완만 해지 세계 경제 침체 국제 금융시장 불안 향후 성장 하향 위험 여전히 큰 판단
2009-04-09,1,3,소비자 물가 는 국제 유가 가 안정세 를 보이 는 가운데 경기 부진 에 따른 수요 압력 완화 로 오름세 가 둔화 되 었 으며 앞 으로 도 이러 한 추세 가 이어질 것 으로 보임 .,소비자 물가 국제 유가 안정세 가운데 경기 부진 수요 압력 완화 오름세 둔화 앞 이러 추세
2009-04-09,1,4,부동산시장 에서 는 거래 위축 및 가격 하락 현상 이 지속 되 고 있 음,부동산시장 거래 위축 가격 하락 현상 지속
2009-04-09,1,5,"금융시장 에서 는 환율 , 주가 등가격 변수 가 개선 된 모습 을 나타내 었 으며 금융기관 의 대출태도 가 완화 되 면서 가계 및 중소기업 대출 이 꾸준히 늘어나 고 있 음",금융시장 환율 주가 등가격 변수 개선 모습 금융기관 대출태도 완화 가계 중소기업 대출 꾸준히
2009-04-09,1,6,앞 으로 통화정책 은 당분간 금융 완화 기조 를 유지 하 면서 경기 의 과도 한 위축 을 방지 하 고 금융시장 안정 을 도모 하 는 데 주안점 을 두 고 운용 해 나갈 것 임,앞 통화정책 당분간 금융 완화 기조 유지 경기 과도 위축 방지 금융시장 안정 도모 주안점 운용
2009-05-12,2,1,금융통화위원회 는 다음 통화정책 방향 결정시 까지 한국은행 기준금리 를 현 수준 ( 2 . 00 %) 에서 유지 하 여 통화정책 을 운용 하 기 로 하 였 음,금융통화위원회 다음 통화정책 방향 결정시 한국은행 기준금리 수준 유지 통화정책 운용
2009-05-12,2,2,"최근 국내 경기 는 내수 부진 에 도 불구 하 고 수출 감소세 둔화 와 적극적 인 재정 통화정책 에 힘입 어 하강 속도 가 완만 해지 고 있 으나 세계 경제 침체 지속 , 고용 사정 악화 등 으로 향후 성장 의 하향 위험 이 상존 하 고 있 는 것 으로 판단 됨",최근 국내 경기 내수 부진 불구 수출 감소세 둔화 적극적 재정 통화정책 하강 속도 완만 해지 세계 경제 침체 지속 고용 사정 악화 향후 성장 하향 위험 상존 판단
2009-05-12,2,3,"소비자 물가 는 국제 유가 의 안정 , 경기 부진 에 따른 수요 압력 완화 등 으로 오름세 가 둔화 되 었 으며 앞 으로 도 이러 한 추세 가 이어질 것 으로 보임 .",소비자 물가 국제 유가 안정 경기 부진 수요 압력 완화 오름세 둔화 앞 이러 추세
2009-05-12,2,4,부동산시장 에서 는 수도권 일부 에서 거래량 이 늘어나 면서 가격 이 반등 하 는 움직임 을 나타내 었 음,부동산시장 수도권 일부 거래량 가격 반등 움직임
2009-05-12,2,5,"금융시장 에서 는 환율 , 주가 등가격 변수 가 개선 추세 를 지속 하 는 가운데 가계 및 중소기업 대출 이 꾸준히 늘어나 고 있 으나 신용위험 에 대한 우려 와 시중 자금 의 단기화 현상 이 지속 되 고 있 음",금융시장 환율 주가 등가격 변수 개선 추세 지속 가운데 가계 중소기업 대출 꾸준히 신용위험 우려 시중 자금 단기화 현상 지속
