ngram,hawkish,dovish
부동 산원,1,0
중고차,2,0
액티브,1,0
다우존스30산업평균지수 거래일,4,0
인상 기조,3,0
수출업체 네고물량,0,3
채권시장 국고채,0,3
자산운용사 채권,0,2
타워,0,3
시티,0,5
전개 관련,0,1
비중 확대 중립,0,1
높 완화,0,1
성장주 상대적,0,1
증시 차별화,1,0
대표 제안,0,1
빨대,0,1
온라인 대출 중개 플랫폼,0,1
가격 일시적,0,2
투자자 외화자금 수요,0,1
미국 단독,0,1
대면 서비스,0,1
경제 재개 관련,1,0
간 신용,1,0
전환 장중,1,0
상위 기록 자금흐름 국내,0,1
물가 상승세 지속,0,1
지역 시가 초과,1,0
올해 상장,1,0
아직 불확실성,0,1
미국 뉴욕증시 일제히 하락,1,0
코로나 확산 초기,2,0
전년 동월 대비 전월,1,0
유동성 장세 실적 장세,0,1
주요 국과 비교,1,1
하락 인도분 금,1,0
금융당국 등록,0,1
기사 포털,0,1
중소기업 취업자,0,1
바이러스 감염증 확산 세,1,0
수출신용보증,1,0
성장주 유리 환경,0,1
권 광석 은행장,0,1
사회 상생,1,0
기환,0,1
친환경 사업 투자,0,1
접종 본격,0,1
인플레이션 완전고용,1,0
국채 금리 상승 뉴욕증시,0,1
대출 관리 서비스,1,0
기준 코스닥 지수,0,2
외평채 성공,1,0
기관 홀로,1,1
우세 전망,1,0
플러스 달러,1,0
일시적 상승,0,2
디딤돌 대출 대상,0,1
논고,0,2
주택 공실,1,0
중소기업 보증,1,0
매입 단행,1,0
미국 연방준비제도 물가,0,1
인상기 금융,0,1
미국 성인 대상,1,0
대응 인상,1,0
해제 소비,0,1
하한가 종목 없이 종목 하락,1,0
금리 상승기 차주,0,1
인플레이션 대처,1,0
일 미국 블루칩 다우존스30산업평균지수 거래일,1,0
강세 중국 위안화 약세,1,0
현재 가량,1,0
RBC비율 유지,1,0
실제 국민,1,0
연준 급격,0,1
증가 다우존스 집계 전문가,1,0
주담대 최장,0,2
빅 스텝 전망,0,1
비트 운영 제공 디지털,0,2
포인트 인상 한국은행,1,0
설명 러시아,1,0
로디 미르 젤 렌,0,1
기념식 참석,1,1
